loit,liat,
60.056409,30.126239,
60.042573,30.128733,
60.041863,30.137302,
60.039658,30.135696,
60.032596,30.119049,
60.022720,30.113491,
60.022444,30.107482,
60.010717,30.114354,
60.006109,30.126572,
59.988935,30.133764,
59.974338,30.208884,
59.955770,30.176043,
59.893853,30.193312,
59.888609,30.167887,
59.865291,30.143474,
59.864341,30.090960,
59.861860,30.067216,
59.828833,30.071993,
59.799738,30.155509,
59.802638,30.172715,
59.809058,30.180801,
59.814013,30.204563,
59.822485,30.222378,
59.834582,30.273666,
59.832965,30.283039,
59.811030,30.323804,
59.810695,30.338162,
59.814721,30.353348,
59.814923,30.368666,
59.818860,30.405094,
59.826354,30.435254,
59.839542,30.453823,
59.847589,30.460480,
59.849218,30.463980,
59.853233,30.479676,
59.854686,30.505460,
59.856140,30.509715,
59.865978,30.528650,
59.871184,30.532082,
59.874330,30.531621,
59.891111,30.523772,
59.895785,30.524524,
59.901581,30.526340,
59.919285,30.526246,
59.925240,30.530605,
59.932755,30.537691,
59.935825,30.538756,
59.948451,30.542571,
59.958395,30.552721,
59.963020,30.554291,
59.967623,30.552602,
59.970380,30.549788,
59.973679,30.543465,
59.975112,30.539482,
59.980798,30.520038,
59.981775,30.514063,
59.983662,30.498690,
59.988559,30.486372,
59.995956,30.478220,
59.999715,30.476731,
60.007512,30.476255,
60.010799,30.474204,
60.014008,30.470100,
60.016246,30.465118,
60.019767,30.456435,
60.035262,30.440911,
60.040123,30.439018,
60.042901,30.436069,
60.045530,30.431032,
60.047896,30.423825,
60.054388,30.398603,
60.058523,30.391234,
60.061482,30.387980,
60.065817,30.385396,
60.084346,30.378475,
60.087629,30.375739,
60.090448,30.371063,
60.092240,30.366358,
60.093448,30.361381,
60.094581,30.350075,
60.095740,30.319121,
60.096461,30.311240,
60.099149,30.290040,
60.099454,30.278884,
60.098151,30.265898,
60.095883,30.255314,
60.088179,30.235235,
60.085929,30.226850,
60.083734,30.210043,
60.082804,30.200673,
60.080409,30.191335,
60.076438,30.182466,
60.067559,30.169793,
60.064817,30.164980,
60.061538,30.156029,
60.060325,30.150505,
60.058391,30.138097,
60.057381,30.133513,
60.056751,30.128970,
